Geneid	SRR10416711
127254	0
101927320	0
1429	705
127253	1301
431707	0
204962	730
34	1599
1744	120
5876	1468
692085	11
26805	19
26804	8
4438	3
127247	0
101927342	0
256435	1
81849	33
102466995	0
10026	1373
26289	0
26009	1739
23032	1675
374986	979
374987	3
91624	101
8880	5532
11080	625
54810	50
149047	2
5737	0
10964	460
10561	1888
64123	0
101927412	0
23266	8
101927434	0
101927498	4
101927587	0
101927560	5
79739	52
5567	2616
148418	6
391051	2
58511	0
80135	1566
2787	1699
100505741	9
1486	458
103695366	0
439927	0
117178	836
23566	503
255231	105
55283	306
126820	44
100616481	0
84144	105
148423	618
8915	1036
646626	6
23576	2405
3491	2652
54680	1909
255631	3
57489	1127
102465842	0
9635	431
1179	0
22802	43
9629	40
105378828	23
51100	3116
9403	2967
9653	1617
339524	4
101927844	0
105378832	0
8543	886
100505768	0
101927891	15
5586	3977
2959	932
56267	420
494115	931
2635	1365
2633	537
2634	164
388646	0
115361	232
115362	59
729930	0
163351	599
400759	24
23507	931
84230	1404
400761	7
55144	2045
105378846	0
492303	68
284695	1729
343472	0
84146	3432
164045	0
8317	1748
7049	908
676	5
253152	147
646817	22
284697	6
23285	74
388649	2
11146	821
79871	765
2672	220
7813	1125
6125	24317
388650	646
6083	6
26782	7
22823	1225
50999	4217
343099	1159
100131564	86
1810	2635
54874	929
100126520	0
8412	2071
100129046	3
100126348	0
100189133	1
30836	4090
2730	1404
24	17
9411	947
5825	2599
2152	48480
101928079	102
100616321	1
126969	279
1266	5340
105378862	4
729970	18
199857	229
101928098	1
148534	84
100527978	7
101928118	1
25950	103
440594	0
100996635	0
102723661	0
101928241	0
58155	531
1806	1229
100873932	2
100873933	0
400765	10
100616452	2
406928	0
729987	13
51375	1464
163404	6
100129620	0
9890	0
101928270	0
54873	362
391059	703
178	1809
23443	1094
64645	2437
163786	1230
54482	437
127495	36
1629	1646
100506007	4
8634	1878
693138	2
8556	683
54112	0
100128787	0
7412	0
2135	394
148867	2016
51611	679
102606465	133
101928334	2
101928370	7
1901	52
104355286	0
118427	0
94236	0
1301	14
101928436	0
55599	189
280	2
648740	4
279	0
276	0
277	0
278	0
100129138	0
101928476	0
55170	1263
22854	35
10451	76
102465839	0
100873946	0
29957	4125
148545	0
653149	0
284611	241
113802	742
55119	2105
163479	1
6814	775
254268	1
642864	0
29899	1428
23155	1180
22911	606
6884	482
56900	897
677766	2
127003	0
57535	50
6301	3615
1952	2124
84722	900
343263	2
6272	443
5686	3158
284612	0
127002	166
284613	490
57463	62
83873	0
2773	2791
406974	2
2780	87
271	1053
2948	261
2946	0
2944	2
2949	0
2947	700
79574	4
1435	398
10768	4296
85369	1283
257	74
104355139	0
164153	0
388662	0
100873974	8
3749	294
440600	29
64783	914
9122	27
10542	1227
101410535	3
84432	0
643160	5
440602	3
3744	0
3737	0
3738	0
963	11
55791	822
128338	560
10390	882
79961	1021
1117	0
149620	0
27159	0
128344	2
441897	0
5016	7
79084	2247
515	5468
128346	7
57413	0
140	2
100129269	0
5906	1348
55924	115
100506343	0
101928718	0
11218	1298
3752	2
100874295	0
100873995	0
643355	0
55917	1331
100422976	2
7482	17
54879	509
829	8372
4343	1677
389	6046
333926	46
284467	0
100996702	2
6566	5464
246182	7
100506392	51
100996251	10
9860	381
643441	0
260425	462
10745	835
54665	609
100287722	6
26191	5
440603	10
10717	262
64858	781
101928846	2
204851	2527
56944	0
148281	0
51592	2825
10286	1157
163259	222
270	3
4893	3355
7812	25129
80143	1506
6847	0
7252	0
10100	19
4803	0
81839	2410
845	0
4808	8
101928995	1
101928977	1
55356	111
126868	4
476	19356
84852	29
101929023	1
965	575
100616384	0
3321	947
100302117	0
388667	0
914	0
5738	7821
9398	83
101929099	9
8458	2371
100126331	0
80263	85
79679	1
104355292	0
10905	2022
100996263	0
54855	20
54834	656
10885	2483
200162	92
6913	178
10352	427
104472716	3
101929147	324
51179	3
100874270	0
3284	0
3283	0
128102	5
644242	32
90874	757
26227	748
3158	0
83998	0
343505	0
11085	0
4853	4404
9554	1411
105378954	9
728841	333
767846	11
100996724	104
101929796	78
101060684	154
100189005	0
101954277	2
653505	2
728855	189
101954264	1
100189257	0
105369199	0
100996721	0
100126488	3
101929798	0
2210	1
100996318	3
337875	46
653820	445
653464	277
100873165	1
647121	79
101929815	0
100189261	0
101954269	0
26863	0
791227	0
105369140	1
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	2
100996713	1
554282	49
100996712	86
101060524	0
730262	0
101954267	1
100189323	0
284565	61
100189127	0
728945	0
105371215	0
1818	0
645166	3
647135	57
728833	79
101929805	1
102724235	9
103091866	45
645142	0
101954266	0
7214	0
100288142	42
100126510	0
101060254	0
101929780	5
653519	72
5174	10
11126	11
27246	478
10623	655
200035	21
10401	560
102466191	0
148741	3
8515	13
8799	333
114814	25
9939	3307
128077	336
84265	153
284615	13
10628	1782
148738	0
100189384	0
100189064	0
100188991	0
100189198	0
101954276	0
101928979	6
100132406	40
388677	98
170688	0
105371242	0
102724558	0
100288805	0
105373468	5
149013	127
728989	0
100189334	0
101447996	0
644861	3
5565	841
171423	2146
2330	12
9557	1043
100289211	0
607	411
51205	368
2702	0
2703	0
51463	229
100034743	2
100189140	0
26864	0
100189193	0
200030	167
101927468	0
100189056	0
100189307	0
100189174	0
100188998	0
100847044	0
101954273	5
102466225	1
26860	0
100132057	15
101954272	0
388685	70
644591	0
25832	172
100996763	17
440672	12
9659	652
400818	186
653513	3
100996761	0
101060226	96
653598	0
57234	55
644634	0
100189228	0
102723955	0
100189059	0
440689	53
2209	7
101927767	3
653604	3
8370	8
105371405	18
126961	0
8337	13
337873	30
723790	21
333932	0
554313	9
8349	327
8338	11
317772	4
51027	24
9900	2
10262	2477
10903	671
56957	767
105373477	2
11311	571
51177	41
81611	2235
23632	10
51107	2341
79630	7
148523	165
54460	606
9129	1253
23248	2357
80222	785
102465529	0
1893	472
100874054	1
54507	75
105371437	0
100422997	0
574406	3
4170	7051
2029	2809
55204	670
84072	69
1520	905
1513	22
405	840
9869	732
29956	2403
8416	33
55793	119
58497	335
149428	3
54964	39
56882	2451
10962	280
126626	305
10500	5
100534012	0
79626	0
388695	106
79005	2
29765	11
6944	831
8394	2258
5710	2569
57592	661
5298	1491
5993	859
8991	20
5692	3055
23126	1305
57530	563
7286	664
693139	0
81609	1009
11189	2
284485	0
65005	922
51686	3
11022	50
339398	0
6097	0
100191040	3
100132111	1
284486	3
117145	501
6281	9326
441908	2
6282	13306
100131107	0
126637	0
7062	40
126638	7
388697	91
2312	74
339400	23
388698	2
49860	1
254910	2
54544	0
353145	1
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	19
163778	2
6698	289
6707	101
6699	4981
6703	394
6700	513
6701	2
6704	80
6705	33
6702	50
6706	0
101928009	0
149018	0
574414	0
4014	0
114771	2
57115	1
6280	1642
6283	4
6279	6
338324	0
645922	0
6278	0
6277	4858
6276	3
6275	70
101928034	57
6274	82
6273	24106
140576	7219
57402	4664
6284	1258
6271	8
26097	1432
23557	401
3608	5951
100189015	0
4881	0
102466879	0
65123	77
11000	3
343052	0
105371448	0
57459	59
9909	1087
200186	787
27173	3633
102465441	0
148327	61
10899	1021
5872	1614
6232	2934
91181	4
100847024	0
7170	17860
100126346	0
388701	0
25912	2150
9898	7275
10456	1292
89872	1
57198	23
3570	1015
126669	1
126668	0
55585	1309
100874097	2
1141	1
103	6730
3782	2
10654	220
57326	298
90780	448
101928120	0
6464	7643
1163	1548
100423020	6
80308	778
55891	0
51043	354
127579	5
149095	6
100505666	23
8751	5718
1945	109
1944	22
1942	505
55974	749
54344	102
200185	663
80128	4
4582	111
